case_id,case_family,category,original_primary_classification,original_root_cause_layer,original_severity,validation_status,validated_primary_classification,validated_root_cause_layer,validated_severity,expected_action,expected_reason,actual_action,actual_reason,claim_recall_pct,context_precision_pct,faithfulness_pct,claim_f1_pct,nrr_correct,candidate_semantic_support,packed_semantic_support,structured_action_status,generation_scope_status,multi_turn_status,safety_status,original_secondary_flags,validated_secondary_flags,evidence_basis,correction_reason,validated_notes
ANS-TRT-001,answerable_single_turn,treatment_use_combination,SYSTEM_BUG_PACKER_SELECTION,packing,MEDIUM,CONFIRMED,SYSTEM_BUG_PACKER_SELECTION,packing,MEDIUM,generate,,abstain,evidence_gap,50.0,12.5,0.0,0.0,,SUPPORTED,AMBIGUOUS,FALSE_ABSTENTION,ALIGNED,NOT_APPLICABLE,ALIGNED,false_abstention|full_8_item_pack|gold_missing_from_pack|low_claim_recall|low_context_precision|low_faithfulness|retrieval_noise,semantic_packing_loss,The exact mainstay/multimodal topical-therapy evidence is present among candidates; the final pack retains related combinations but not the complete proposition.,Original finding is supported by semantic artifact review.,"Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
ANS-TRT-002,answerable_single_turn,treatment_use_combination,PASS,none,,CONFIRMED,PASS,none,,generate,,generate,evidence_sufficient,100.0,50.0,100.0,44.44444444444445,,SUPPORTED,SUPPORTED,ALIGNED,ALIGNED,NOT_APPLICABLE,ALIGNED,high_claim_recall|high_faithfulness|retrieval_gold_hit,,Light consistency review: saved expected/actual action and case metrics show no contradiction requiring deeper correction.,Original finding is supported by semantic artifact review.,"Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
ANS-TRT-003,answerable_single_turn,treatment_use_combination,PASS,none,,CONFIRMED,PASS,none,,generate,,generate,evidence_sufficient,100.0,37.5,100.0,54.54545454545454,,SUPPORTED,SUPPORTED,ALIGNED,ALIGNED,NOT_APPLICABLE,ALIGNED,full_8_item_pack|high_claim_recall|high_faithfulness|retrieval_gold_hit,,Light consistency review: saved expected/actual action and case metrics show no contradiction requiring deeper correction.,Original finding is supported by semantic artifact review.,"Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
ANS-TRT-004,answerable_single_turn,treatment_use_combination,SYSTEM_BUG_RETRIEVAL_UNDERCOVERAGE,retrieval,MEDIUM,CORRECTED,PASS,none,,generate,,generate,evidence_sufficient,75.0,37.5,100.0,40.0,,SUPPORTED,SUPPORTED,ALIGNED,ALIGNED,NOT_APPLICABLE,ALIGNED,full_8_item_pack|high_claim_recall|high_faithfulness|retrieval_noise,,Packed dbeb735c states the 3-4 month limit and retinoid/BP combination; the answer covers both requested principles.,Semantic review found complete support/answer coverage; the original heuristic classification is corrected.,"Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
ANS-TRT-005,answerable_single_turn,treatment_use_combination,SYSTEM_BUG_GENERATION_OVER_ANSWERING,generation,LOW,CONFIRMED,SYSTEM_BUG_GENERATION_OVER_ANSWERING,generation,LOW,generate,,generate,evidence_sufficient,100.0,66.66666666666666,100.0,25.0,,SUPPORTED,SUPPORTED,ALIGNED,OVER_ANSWERING,NOT_APPLICABLE,ALIGNED,high_claim_recall|high_faithfulness|over_answering|provider_fallback|retrieval_gold_hit,over_answering,"The core maintenance indication/regimen is answered, followed by alternatives, skincare and follow-up detail that materially expands the narrow request.",Original finding is supported by semantic artifact review.,"Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
ANS-TRT-006,answerable_single_turn,treatment_use_combination,SYSTEM_BUG_GENERATION_OMISSION,generation,MEDIUM,CORRECTED,PASS,none,,generate,,generate,evidence_sufficient,100.0,33.33333333333333,100.0,85.36585365853658,,SUPPORTED,SUPPORTED,ALIGNED,ALIGNED,NOT_APPLICABLE,ALIGNED,generation_omission|high_claim_recall|high_faithfulness|retrieval_gold_hit,,"Packed NICE evidence and response cover age, severe resistance, named severe forms and permanent-scarring risk.",Semantic review found complete support/answer coverage; the original heuristic classification is corrected.,"Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
ANS-TRT-007,answerable_single_turn,treatment_use_combination,PASS,none,,CONFIRMED,PASS,none,,generate,,generate,evidence_sufficient,100.0,100.0,100.0,57.14285714285715,,SUPPORTED,SUPPORTED,ALIGNED,ALIGNED,NOT_APPLICABLE,ALIGNED,high_claim_recall|high_faithfulness|retrieval_gold_hit,,Light consistency review: saved expected/actual action and case metrics show no contradiction requiring deeper correction.,Original finding is supported by semantic artifact review.,"Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
ANS-TRT-008,answerable_single_turn,treatment_use_combination,SYSTEM_BUG_PACKER_SELECTION,packing,MEDIUM,CONFIRMED,SYSTEM_BUG_PACKER_SELECTION,packing,MEDIUM,generate,,generate,evidence_sufficient,50.0,12.5,100.0,0.0,,SUPPORTED,AMBIGUOUS,ALIGNED,ALIGNED,NOT_APPLICABLE,ALIGNED,full_8_item_pack|gold_missing_from_pack|high_faithfulness|low_claim_recall|low_context_precision|retrieval_noise,semantic_packing_loss,Candidates contain anti-androgen role and combination evidence; the pack retains combination evidence but loses the anti-androgen proposition.,Original finding is supported by semantic artifact review.,"Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
ANS-TRT-009,answerable_single_turn,treatment_use_combination,SYSTEM_BUG_PACKER_SELECTION,packing,MEDIUM,CONFIRMED,SYSTEM_BUG_PACKER_SELECTION,packing,MEDIUM,generate,,generate,evidence_sufficient,25.0,25.0,85.71428571428571,26.666666666666668,,SUPPORTED,AMBIGUOUS,ALIGNED,ALIGNED,NOT_APPLICABLE,ALIGNED,gold_missing_from_pack|high_faithfulness|low_claim_recall|low_context_precision|retrieval_gold_hit,semantic_packing_loss,Candidates contain comedolytic/unclogging and limitation evidence; the pack retains the first but not the no-sebum/no-antibacterial limitation.,Original finding is supported by semantic artifact review.,"Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
ANS-TRT-010,answerable_single_turn,treatment_use_combination,PASS,none,,CONFIRMED,PASS,none,,generate,,generate,evidence_sufficient,100.0,50.0,100.0,100.0,,SUPPORTED,SUPPORTED,ALIGNED,ALIGNED,NOT_APPLICABLE,ALIGNED,high_claim_recall|high_faithfulness|retrieval_gold_hit,,Light consistency review: saved expected/actual action and case metrics show no contradiction requiring deeper correction.,Original finding is supported by semantic artifact review.,"Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
ANS-TRT-011,answerable_single_turn,treatment_use_combination,SYSTEM_BUG_RETRIEVAL_UNDERCOVERAGE,retrieval,MEDIUM,CONFIRMED,SYSTEM_BUG_RETRIEVAL_UNDERCOVERAGE,retrieval,MEDIUM,generate,,generate,evidence_sufficient,0.0,0.0,100.0,0.0,,NOT_SUPPORTED,NOT_SUPPORTED,ALIGNED,ALIGNED,NOT_APPLICABLE,ALIGNED,high_faithfulness|low_claim_recall|low_context_precision|provider_fallback|retrieval_noise,semantic_retrieval_undercoverage,"Neither saved candidates nor pack contain the NICE non-alkaline, neutral/slightly-acidic, twice-daily proposition.",Original finding is supported by semantic artifact review.,"Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
ANS-TRT-012,answerable_single_turn,treatment_use_combination,SYSTEM_BUG_GENERATION_OVER_ANSWERING,generation,LOW,CORRECTED,EXPECTED_METRIC_BEHAVIOR,metric_behavior,LOW,generate,,generate,evidence_sufficient,100.0,50.0,90.9090909090909,30.76923076923077,,SUPPORTED,SUPPORTED,ALIGNED,EXPECTED_SCOPE_VARIATION,NOT_APPLICABLE,ALIGNED,high_claim_recall|high_faithfulness|over_answering|retrieval_gold_hit,expected_metric_penalty,The answer directly rejects diet-only treatment and explains conflicting evidence; detail is relevant support for the requested conclusion.,"Extra claims are relevant supported explanation or narrow-gold effects, not proven material over-answering.","Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
ANS-MEC-001,answerable_single_turn,mechanism_role,PASS,none,,CONFIRMED,PASS,none,,generate,,generate,evidence_sufficient,100.0,50.0,100.0,100.0,,SUPPORTED,SUPPORTED,ALIGNED,ALIGNED,NOT_APPLICABLE,ALIGNED,high_claim_recall|high_faithfulness|retrieval_gold_hit,,Light consistency review: saved expected/actual action and case metrics show no contradiction requiring deeper correction.,Original finding is supported by semantic artifact review.,"Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
ANS-MEC-002,answerable_single_turn,mechanism_role,SYSTEM_BUG_GENERATION_OVER_ANSWERING,generation,LOW,CORRECTED,EXPECTED_METRIC_BEHAVIOR,metric_behavior,LOW,generate,,generate,evidence_sufficient,100.0,20.0,100.0,33.333333333333336,,SUPPORTED,SUPPORTED,ALIGNED,EXPECTED_SCOPE_VARIATION,NOT_APPLICABLE,ALIGNED,high_claim_recall|high_faithfulness|low_context_precision|over_answering|retrieval_gold_hit,expected_metric_penalty,"The response states comedolytic and anti-inflammatory roles; PIH/maintenance details are related explanatory context, not a material scope defect.","Extra claims are relevant supported explanation or narrow-gold effects, not proven material over-answering.","Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
ANS-MEC-003,answerable_single_turn,mechanism_role,PASS,none,,CONFIRMED,PASS,none,,generate,,generate,evidence_sufficient,100.0,66.66666666666666,100.0,83.33333333333333,,SUPPORTED,SUPPORTED,ALIGNED,ALIGNED,NOT_APPLICABLE,ALIGNED,high_claim_recall|high_faithfulness|retrieval_gold_hit,,Light consistency review: saved expected/actual action and case metrics show no contradiction requiring deeper correction.,Original finding is supported by semantic artifact review.,"Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
ANS-MEC-004,answerable_single_turn,mechanism_role,EXPECTED_METRIC_BEHAVIOR,metric_behavior,LOW,CONFIRMED,EXPECTED_METRIC_BEHAVIOR,metric_behavior,LOW,generate,,generate,evidence_sufficient,100.0,20.0,100.0,33.333333333333336,,SUPPORTED,SUPPORTED,ALIGNED,EXPECTED_SCOPE_VARIATION,NOT_APPLICABLE,ALIGNED,expected_metric_penalty|high_claim_recall|high_faithfulness|low_context_precision|retrieval_gold_hit,expected_metric_penalty,"Packed spironolactone evidence supports all stated mechanisms; low F1 reflects claim granularity, not a system defect.",Original finding is supported by semantic artifact review.,"Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
ANS-MEC-005,answerable_single_turn,mechanism_role,SYSTEM_BUG_GENERATION_OVER_ANSWERING,generation,LOW,CORRECTED,EXPECTED_METRIC_BEHAVIOR,metric_behavior,LOW,generate,,generate,evidence_sufficient,100.0,100.0,100.0,20.0,,SUPPORTED,SUPPORTED,ALIGNED,EXPECTED_SCOPE_VARIATION,NOT_APPLICABLE,ALIGNED,high_claim_recall|high_faithfulness|over_answering|retrieval_gold_hit,expected_metric_penalty,The response expands the anti-androgen mechanism into supported submechanisms that directly explain the requested role.,"Extra claims are relevant supported explanation or narrow-gold effects, not proven material over-answering.","Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
ANS-MEC-006,answerable_single_turn,mechanism_role,PASS,none,,CONFIRMED,PASS,none,,generate,,generate,evidence_sufficient,100.0,75.0,100.0,40.0,,SUPPORTED,SUPPORTED,ALIGNED,ALIGNED,NOT_APPLICABLE,ALIGNED,high_claim_recall|high_faithfulness|retrieval_gold_hit,,Light consistency review: saved expected/actual action and case metrics show no contradiction requiring deeper correction.,Original finding is supported by semantic artifact review.,"Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
ANS-MEC-007,answerable_single_turn,mechanism_role,SYSTEM_BUG_RETRIEVAL_UNDERCOVERAGE,retrieval,MEDIUM,CORRECTED,PASS,none,,generate,,generate,evidence_sufficient,75.0,25.0,100.0,85.71428571428571,,SUPPORTED,SUPPORTED,ALIGNED,ALIGNED,NOT_APPLICABLE,ALIGNED,full_8_item_pack|high_claim_recall|high_faithfulness|low_context_precision|retrieval_gold_hit,,"Packed clascoterone evidence states topical anti-androgen and age 12+, and the answer states both.",Semantic review found complete support/answer coverage; the original heuristic classification is corrected.,"Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
ANS-MEC-008,answerable_single_turn,mechanism_role,SYSTEM_BUG_PACKER_SELECTION,packing,MEDIUM,CONFIRMED,SYSTEM_BUG_PACKER_SELECTION,packing,MEDIUM,generate,,generate,evidence_sufficient,50.0,100.0,100.0,33.33333333333333,,SUPPORTED,AMBIGUOUS,ALIGNED,ALIGNED,NOT_APPLICABLE,ALIGNED,gold_missing_from_pack|high_faithfulness|low_claim_recall|retrieval_noise,semantic_packing_loss,Candidates contain resistance-prevention and no-known-BP-resistance evidence; the pack retains only the resistance-prevention side.,Original finding is supported by semantic artifact review.,"Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
ANS-ADV-001,answerable_single_turn,adverse_effects_precautions,PASS,none,,CONFIRMED,PASS,none,,generate,,generate,evidence_sufficient,100.0,100.0,100.0,94.11764705882352,,SUPPORTED,SUPPORTED,ALIGNED,ALIGNED,NOT_APPLICABLE,ALIGNED,high_claim_recall|high_faithfulness|retrieval_gold_hit,,Light consistency review: saved expected/actual action and case metrics show no contradiction requiring deeper correction.,Original finding is supported by semantic artifact review.,"Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
ANS-ADV-002,answerable_single_turn,adverse_effects_precautions,SYSTEM_BUG_RETRIEVAL_UNDERCOVERAGE,retrieval,MEDIUM,CORRECTED,PASS,none,,generate,,generate,evidence_sufficient,33.33333333333333,25.0,100.0,0.0,,SUPPORTED,SUPPORTED,ALIGNED,ALIGNED,NOT_APPLICABLE,ALIGNED,high_faithfulness|low_claim_recall|low_context_precision|retrieval_noise,,Packed evidence supports low-frequency/alternate-day initiation and gradual tolerance; the answer gives equivalent practical guidance.,Semantic review found complete support/answer coverage; the original heuristic classification is corrected.,"Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
ANS-ADV-003,answerable_single_turn,adverse_effects_precautions,SYSTEM_BUG_UNSUPPORTED_GENERATION,generation,HIGH,CONFIRMED,SYSTEM_BUG_UNSUPPORTED_GENERATION,generation,HIGH,generate,,generate,evidence_sufficient,50.0,12.5,54.54545454545454,30.76923076923077,,AMBIGUOUS,AMBIGUOUS,ALIGNED,UNSUPPORTED,NOT_APPLICABLE,ALIGNED,full_8_item_pack|low_claim_recall|low_context_precision|low_faithfulness|over_answering|retrieval_noise,,The answer narrows topical-retinoid contraindication to tazarotene and asserts broader drug contraindications not fully supported by the pack.,Original finding is supported by semantic artifact review.,"Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
ANS-ADV-004,answerable_single_turn,adverse_effects_precautions,PASS,none,,CONFIRMED,PASS,none,,generate,,generate,evidence_sufficient,100.0,50.0,100.0,80.0,,SUPPORTED,SUPPORTED,ALIGNED,ALIGNED,NOT_APPLICABLE,ALIGNED,high_claim_recall|high_faithfulness|retrieval_gold_hit,,Light consistency review: saved expected/actual action and case metrics show no contradiction requiring deeper correction.,Original finding is supported by semantic artifact review.,"Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
ANS-ADV-005,answerable_single_turn,adverse_effects_precautions,SYSTEM_BUG_PACKER_SELECTION,packing,MEDIUM,CORRECTED,PASS,none,,generate,,generate,evidence_sufficient,75.0,60.0,100.0,22.222222222222225,,SUPPORTED,SUPPORTED,ALIGNED,ALIGNED,NOT_APPLICABLE,ALIGNED,gold_missing_from_pack|high_claim_recall|high_faithfulness|retrieval_gold_hit,,Packed NICE isotretinoin material contains MHRA mental-health and pregnancy-risk management; the answer covers both.,Semantic review found complete support/answer coverage; the original heuristic classification is corrected.,"Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
ANS-ADV-006,answerable_single_turn,adverse_effects_precautions,PASS,none,,CONFIRMED,PASS,none,,generate,,generate,evidence_sufficient,100.0,50.0,100.0,52.17391304347826,,SUPPORTED,SUPPORTED,ALIGNED,ALIGNED,NOT_APPLICABLE,ALIGNED,high_claim_recall|high_faithfulness|retrieval_gold_hit,,Light consistency review: saved expected/actual action and case metrics show no contradiction requiring deeper correction.,Original finding is supported by semantic artifact review.,"Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
ANS-ADV-007,answerable_single_turn,adverse_effects_precautions,SYSTEM_BUG_GENERATION_OMISSION,generation,MEDIUM,CORRECTED,PASS,none,,generate,,generate,evidence_sufficient,100.0,100.0,87.5,20.0,,SUPPORTED,SUPPORTED,ALIGNED,ALIGNED,NOT_APPLICABLE,ALIGNED,generation_omission|high_claim_recall|high_faithfulness|retrieval_gold_hit,,The response explicitly states venous thromboembolism risk; no required claim is omitted.,Semantic review found complete support/answer coverage; the original heuristic classification is corrected.,"Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
ANS-ADV-008,answerable_single_turn,adverse_effects_precautions,PASS,none,,CONFIRMED,PASS,none,,generate,,generate,evidence_sufficient,100.0,75.0,100.0,74.99999999999999,,SUPPORTED,SUPPORTED,ALIGNED,ALIGNED,NOT_APPLICABLE,ALIGNED,high_claim_recall|high_faithfulness|retrieval_gold_hit,,Light consistency review: saved expected/actual action and case metrics show no contradiction requiring deeper correction.,Original finding is supported by semantic artifact review.,"Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
ANS-ADV-009,answerable_single_turn,adverse_effects_precautions,PASS,none,,CONFIRMED,PASS,none,,generate,,generate,evidence_sufficient,100.0,12.5,100.0,100.0,,SUPPORTED,SUPPORTED,ALIGNED,ALIGNED,NOT_APPLICABLE,ALIGNED,full_8_item_pack|high_claim_recall|high_faithfulness|low_context_precision|retrieval_noise,,Light consistency review: saved expected/actual action and case metrics show no contradiction requiring deeper correction.,Original finding is supported by semantic artifact review.,"Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
ANS-CMP-001,answerable_single_turn,comparison_integration,SYSTEM_BUG_RETRIEVAL_UNDERCOVERAGE,retrieval,MEDIUM,CORRECTED,PASS,none,,generate,,generate,evidence_sufficient,66.66666666666666,12.5,100.0,48.00000000000001,,SUPPORTED,SUPPORTED,ALIGNED,ALIGNED,NOT_APPLICABLE,ALIGNED,full_8_item_pack|high_faithfulness|low_claim_recall|low_context_precision|retrieval_noise,,Packed lesion description contains open/closed names and morphology; the answer directly contrasts both.,Semantic review found complete support/answer coverage; the original heuristic classification is corrected.,"Semantic support was judged from saved gold propositions, candidate IDs mapped to saved excerpts/packed text, packed contexts, decisions and response; exact ID matching was not sufficient by itself."
